filiere;hentad;niveaux;liveoù;Dep;uai;nom;anv;adresse;choml;cp-kp;commune;kumun;code_insee-kod_ebssa;telephone-pgz;telecopie-plr;courriel-posteler;autre_courriel-posteler_all;internet-kenrouedad;latitude-ledred;longitude-hedred
Public;Publik;Ecole maternelle;Skol-vamm;22;0221122A;Ecole maternelle publique;Skol-vamm bublik;Rue Balore;Straed Balore;22140;BEGARD;BEAR;22004;02 96 45 29 74;_;ecole.0221122a@ac-rennes.fr;_;_;48.63389618944694;-3.303120661298699
Public;Publik;Ecole élémentaire;Skol-gentañ;22;0220729Y;Ecole élémentaire publique;Skol-gentañ bublik;Rue Balore;Straed Balore;22140;BEGARD;BEAR;22004;02 96 45 21 84;_;ecole.0220729y@ac-rennes.fr;_;_;48.63280344631832;-3.304430497306922
Public;Publik;Collège;Skolaj;22;0221518F;Collège François Clec'h;Skolaj François Klec'h;20 avenue Pierre Perron;20 bali Pierre Perron;22140;BEGARD;BEAR;22004;02 96 45 21 11;02 96 45 23 78;Ce.0221518f@ac-rennes.fr;_;_;48.63110777515213;-3.3029692921441307
Public;Publik;Ecole maternelle;Skol-vamm;22;0221481r;Ecole La Vigie;Skol Ar Ged;6 rue du Clos Carhaix, Binic;6 Kloz Karaez, Binig;22680;BINIC-ETABLES-SUR-MER;BINIG-STAOL;22055;296733183;_;ecole.0221481r@ac-rennes.fr;_;_;48.59899172857284;-2.835670239869126
Diwan;Diwan;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0222004J;Skol Diwan Boulvriag;Skol Diwan Boulvriag;17 bis rue de Koad Lioù;17 bis straed Koad Lioù;22390;BOURBRIAC;BOULVRIAG;22013;09 52 78 32 10;_;skol.boulvriag@diwan.bzh;_;_;48.47598930291723;-3.1858106240348993
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0220761H;Ecole publique;Skol bublik;6 plasenn ar Skol;6 Plasenn ar Skol;22160;BULAT-PESTIVIEN;BULAD-PESTIVIEN;22023;02 96 45 76 66;_;ecole.0220761h@ac-rennes.fr;_;_;48.42822448185575;-3.330280665191749
Public;Publik;Ecole maternelle;Skol-vamm;22;0220764L;Ecole maternelle publique;Skol-vamm bublik ;17 rue de l'Allée;17 straed an Alez;22160;CALLAC;KALLAG;22025;02 96 45 52 76 / 02 96 45 52 27;_;ecole.0220764l@ac-rennes.fr;_;_;48.40615818550216;-3.427480202311234
Public;Publik;Collège;Skolaj;22;0221540e;Collège Gwer Halou;Skolaj Gwerhaloù;16 rue Anatole le Braz - BP 68;16 Straed Anatol ar Braz - BP 68;22160;CALLAC;KALLAG;22025;296455055;_;Ce.0221540e@ac-rennes.fr;_;_;48.406263588775566;-3.4286305482295503
Public;Publik;Ecole maternelle;Skol-vamm;22;0221535Z;Ecole La Fontaine Cariou;Skol Feunteun Karioù;Rue des Ecoles;Straed ar Skolioù;22350;CAULNES;KAON;22032;02 96 83 91 96;_;ce.0221535Z@ac-rennes.fr;_;_;48.28737985234092;-2.1561993835002604
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0220785J;Ecole publique;Skol bublik;12 rue Général de Gaulle;12 straed ar Jeneral de Gaulle;22140;CAVAN;KAWAN;22034;02 96 35 95 02;_;ecole.0220785j@ac-rennes.fr;_;_;48.67372227135524;-3.3470494648792717
Public;Publik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221586E;École primaire publique;Skol kentañ derez publik;1 rue des écoles;1 straed ar skolioù;22170;CHATELAUDREN-PLOUAGAT;KASTELLAODREN-PLAGAD;22206;02 96 74 18 60;_;ecole.0221586e@ac-rennes.fr;_;_;48.5366992965169;-2.9979926198724423
Catholique;Katolik;Ecole maternelle et élémentaire;Skol-vamm ha skol-gentañ;22;0221393V;Ecole Sainte-Croix;Skol Sainte-Croix;7 Rue Chateaubriand;7 straed Chateaubriand;22100;DINAN;DINAN;22050;02 96 39 22 89;_;eco22.ste-croix.dinan@eco.ecbretagne.org;_;_;48.458493893569155;-2.0464145894075263
