annee,niveau,effectif_bilingue,effectif_unilingue,taux_bilingue_pct
2004,1er_degre,5930,18299,24.5
2004,college,1263,11128,10.2
2004,lycee_general,356,5059,6.6
2005,1er_degre,6213,18065,25.6
2005,college,1413,10845,11.5
2005,lycee_general,369,5116,6.7
2006,1er_degre,6713,17628,27.6
2006,college,1473,10747,12.1
2006,lycee_general,352,5031,6.5
2007,1er_degre,7145,17277,29.3
2007,college,1546,10775,12.5
2007,lycee_general,419,4992,7.7
2008,1er_degre,7581,16971,30.9
2008,college,1687,10663,13.7
2008,lycee_general,418,4917,7.8
2009,1er_degre,7974,16651,32.4
2009,college,1751,10773,14.0
2009,lycee_general,471,4919,8.7
2010,1er_degre,8382,16311,33.9
2010,college,1851,10772,14.7
2010,lycee_general,436,4956,8.1
2011,1er_degre,8728,16164,35.1
2011,college,1926,10904,15.0
2011,lycee_general,483,5028,8.8
2012,1er_degre,8978,16024,35.9
2012,college,2008,10907,15.5
2012,lycee_general,482,5142,8.6
2013,1er_degre,9236,16030,36.6
2013,college,2086,10933,16.0
2013,lycee_general,522,5198,9.1
2014,1er_degre,9456,15905,37.3
2014,college,2174,10774,16.8
2014,lycee_general,578,5439,9.6
2015,1er_degre,9843,15893,38.2
2015,college,2309,10708,17.7
2015,lycee_general,583,5602,9.4
2016,1er_degre,9980,15849,38.6
2016,college,2515,10595,19.2
2016,lycee_general,650,5886,9.9
2017,1er_degre,10276,15773,39.4
2017,college,2742,10610,20.5
2017,lycee_general,696,5909,10.5
2018,1er_degre,10564,15767,40.1
2018,college,2880,10545,21.5
2018,lycee_general,778,5776,11.9
2019,1er_degre,10711,15499,40.9
2019,college,3054,10542,22.5
2019,lycee_general,818,5829,12.3
2020,1er_degre,10607,15267,41.0
2020,college,3123,10639,22.7
2020,lycee_general,852,5870,12.7
2021,1er_degre,10629,14982,41.5
2021,college,3203,10652,23.1
2021,lycee_general,872,5939,12.8
2022,1er_degre,10642,14645,42.1
2022,college,3306,10709,23.6
2022,lycee_general,887,5768,13.3
2023,1er_degre,10610,14293,42.6
2023,college,3419,10682,24.2
2023,lycee_general,952,5769,14.2
2024,1er_degre,10821,13974,43.6
2024,college,3500,10373,25.2
2024,lycee_general,980,5645,14.8
