Nom;Région;Type équipement ou lieu;Domaine;Latitude;Longitude
Manoir de Coatgouray;Bretagne;Monument;Patrimoine;48.636416;-3.290605
Croix des Botmiliau;Bretagne;Monument;Patrimoine;48.467875;-2.980932
Croix Saint-Yves;Bretagne;Monument;Patrimoine;48.4868185574601;-2.96214463944492
Chapelle Notre-Dame de Darnouët;Bretagne;Monument;Patrimoine;48.479696;-3.185196
Dolmen de Kérivole (ou Kerivoa);Bretagne;Monument;Patrimoine;48.479696;-3.185196
Manoir du Lézard;Bretagne;Monument;Patrimoine;48.479696;-3.185196
Eglise Saint-Nicodème;Bretagne;Monument;Patrimoine;48.471388;-2.258616
Croix Saint-Michel;Bretagne;Monument;Patrimoine;48.849932;-3.00246
Eglise Notre-Dame de Bulat;Bretagne;Monument;Patrimoine;48.431948;-3.334352
Chapelle Saint-Blaise et son cimetière;Bretagne;Monument;Patrimoine;48.431948;-3.334352
Fontaine Saint-Maur;Bretagne;Monument;Patrimoine;48.439294;-3.46569
Manoir de la Ville Blanche;Bretagne;Monument;Patrimoine;48.335285;-3.08741
Manoir de Locmaria;Bretagne;Monument;Patrimoine;48.357151;-3.541614
Eglise Saint-Pierre;Bretagne;Monument;Patrimoine;48.302878;-2.162149
Deux menhirs;Bretagne;Monument;Patrimoine;48.215388;-3.046694
Château de la Motte-Basse;Bretagne;Monument;Patrimoine;48.324813;-2.49429
Site gallo-romain du Haut-Bécherel - Temple de Mars;Bretagne;Monument;Patrimoine;48.485946;-2.166334
Château de la Reine Anne;Bretagne;Monument;Patrimoine;48.450412;-2.044063
Maison;Bretagne;Monument;Patrimoine;48.45437;-2.043078
Maison;Bretagne;Monument;Patrimoine;48.453674;-2.04345
Maison;Bretagne;Monument;Patrimoine;48.453779;-2.044351
Gare S.N.C.F.;Bretagne;Monument;Patrimoine;48.447021;-2.053427
Maison dite des Potiers;Bretagne;Monument;Patrimoine;48.456588;-2.039256
Maison;Bretagne;Monument;Patrimoine;48.456429;-2.038902
Maison;Bretagne;Monument;Patrimoine;48.455972;-2.04064
Maison;Bretagne;Monument;Patrimoine;48.455893;-2.04063
Maison;Bretagne;Monument;Patrimoine;48.453907;-2.041558
Maison;Bretagne;Monument;Patrimoine;48.45383;-2.042623
Maison;Bretagne;Monument;Patrimoine;48.453719;-2.043658
Maison;Bretagne;Monument;Patrimoine;48.453785;-2.044465
Maison;Bretagne;Monument;Patrimoine;48.45376;-2.044649
Immeuble;Bretagne;Monument;Patrimoine;48.453619;-2.042444
Château de Beaumanoir;Bretagne;Monument;Patrimoine;48.379535;-1.975157
Chapelle Saint-Nicolas;Bretagne;Monument;Patrimoine;48.292453;-2.759241
Château de Coatcouraval;Bretagne;Monument;Patrimoine;48.203974;-3.3789
Restes des remparts;Bretagne;Monument;Patrimoine;48.560263;-3.153245
Ancienne prison;Bretagne;Monument;Patrimoine;48.56177;-3.147396
Couvent des Ursulines;Bretagne;Monument;Patrimoine;48.560443;-3.145827
Ancienne abbaye Sainte-Croix;Bretagne;Monument;Patrimoine;48.551798;-3.156303
Château de Couëllan;Bretagne;Monument;Patrimoine;48.291505;-2.100402
Menhir dit La Pierre Longue;Bretagne;Monument;Patrimoine;48.291505;-2.100402
Château de Catuelan;Bretagne;Monument;Patrimoine;48.386317;-2.689574
Eglise Saint-Jean-Baptiste;Bretagne;Monument;Patrimoine;48.513983;-2.668673
Croix du 18e siècle;Bretagne;Monument;Patrimoine;48.410073;-2.321512
Ancien hôtel de Sevoy;Bretagne;Monument;Patrimoine;48.40731;-2.325689
Eglise Notre-Dame et Saint-Etienne;Bretagne;Monument;Patrimoine;48.40731;-2.325689
Chapelle Saint-Lubin;Bretagne;Monument;Patrimoine;48.299865;-3.325149
Croix du 17e siècle située devant la chapelle de Langoërat;Bretagne;Monument;Patrimoine;48.60864035153;-3.21627409340264
Allée couverte du Chêne-Hut;Bretagne;Monument;Patrimoine;48.48799;-2.520609
Menhir de Guihallon;Bretagne;Monument;Patrimoine;48.48799;-2.520609
Calvaire dit Croix Dom Jan;Bretagne;Monument;Patrimoine;48.511267;-2.335618
Abbaye de Bon Repos;Bretagne;Monument;Patrimoine;48.218559;-3.08467
Eglise Saint-Gildas;Bretagne;Monument;Patrimoine;48.241756;-3.123028
Manoir de la Noë Verte;Bretagne;Monument;Patrimoine;48.712261;-2.968937
Chapelle Notre-Dame de Liscornot;Bretagne;Monument;Patrimoine;48.648957;-3.010415
Croix du 17e siècle;Bretagne;Monument;Patrimoine;48.648957;-3.010415
Immeuble;Bretagne;Monument;Patrimoine;48.731575955832;-3.46003127864999
Chapelle de l'Institution Saint-Joseph (actuellement collège Saint-Joseph);Bretagne;Monument;Patrimoine;48.730202;-3.454564
Manoir de Kerprigent;Bretagne;Monument;Patrimoine;48.744406;-3.474486
Chapelle Saint-Nicodème;Bretagne;Monument;Patrimoine;48.744406;-3.474486
Ancien couvent Sainte-Anne;Bretagne;Monument;Patrimoine;48.729215;-3.462924
Château de Kerivon;Bretagne;Monument;Patrimoine;48.744406;-3.474486
Borne de corvée;Bretagne;Monument;Patrimoine;48.744406;-3.474486
Chapelle Saint-Antoine;Bretagne;Monument;Patrimoine;48.350999;-3.210076
Calvaire et ossuaire;Bretagne;Monument;Patrimoine;48.350999;-3.210076
Eglise Notre-Dame-de-la-Cour et croix de calvaire;Bretagne;Monument;Patrimoine;48.596186;-2.882811
Ossuaire;Bretagne;Monument;Patrimoine;48.606616;-3.527973
Eglise Saint-Envel;Bretagne;Monument;Patrimoine;48.516558;-3.408886
Chapelle du Dresnay;Bretagne;Monument;Patrimoine;48.51351;-3.48354
Manoir de la Vigne;Bretagne;Monument;Patrimoine;48.59755;-2.281999
Manoir du Vieux Bourg, ou maison dite le château de Merdrignac;Bretagne;Monument;Patrimoine;48.183192;-2.402678
Chapelle Saint-Jacques de Saint-Léon;Bretagne;Monument;Patrimoine;48.272643;-2.909094
Maisons;Bretagne;Monument;Patrimoine;48.361213;-2.632646
Croix;Bretagne;Monument;Patrimoine;48.2652668673979;-3.50191244497634
Ferme de Lisquily;Bretagne;Monument;Patrimoine;48.202537;-2.986085
Chapelle Sainte-Suzanne;Bretagne;Monument;Patrimoine;48.202537;-2.986085
Maison;Bretagne;Monument;Patrimoine;48.779734;-3.045286
Maison;Bretagne;Monument;Patrimoine;48.780958;-3.04693
Tumulus de Castellaouenan;Bretagne;Monument;Patrimoine;48.228121;-3.462086
Eglise Saint-Pierre;Bretagne;Monument;Patrimoine;48.597144;-3.270092
Menhir de Kerbelven;Bretagne;Monument;Patrimoine;48.819684;-3.301142
Dolmen à galerie, dans la partie Sud-Ouest de l'île de Bono;Bretagne;Monument;Patrimoine;48.810531;-3.46006
Moulin de la Lande du Crac;Bretagne;Monument;Patrimoine;48.810531;-3.46006
Chapelle de Notre-Dame de la Clarté;Bretagne;Monument;Patrimoine;48.810531;-3.46006
Calvaire, à Ploumanac'h, dans l'enclos de la chapelle Saint-Guirec;Bretagne;Monument;Patrimoine;48.810531;-3.46006
Menhir dit Le Fuseau;Bretagne;Monument;Patrimoine;48.443732;-2.862947
Menhir dit du Petit Vauridel;Bretagne;Monument;Patrimoine;48.408368;-2.808258
Camp de Péran;Bretagne;Monument;Patrimoine;48.442372;-2.737594
Château de Craffault;Bretagne;Monument;Patrimoine;48.442372;-2.737594
Vieux calvaire;Bretagne;Monument;Patrimoine;48.632286;-2.372194
Château Goëlo;Bretagne;Monument;Patrimoine;48.55466;-2.91853
Croix du 18e siècle;Bretagne;Monument;Patrimoine;48.173295;-2.598183
Chapelle Saint-Lubin et calvaire;Bretagne;Monument;Patrimoine;48.173295;-2.598183
Croix du 15e siècle dite Croix de la Belle Place;Bretagne;Monument;Patrimoine;48.3488662749365;-2.66126026633322
Chapelle Saint-Yves;Bretagne;Monument;Patrimoine;48.44125;-3.128928
Menhir de Caëlonan, ou Caillouan;Bretagne;Monument;Patrimoine;48.44125;-3.128928
Château du Bois de la Motte;Bretagne;Monument;Patrimoine;48.536071;-2.067595
Croix du cimetière;Bretagne;Monument;Patrimoine;48.423886;-2.446516
Manoir de Kerviziou;Bretagne;Monument;Patrimoine;48.655482;-3.619971
Fontaine Saint-Efflam;Bretagne;Monument;Patrimoine;48.670443;-3.610839
Croix de cimetière;Bretagne;Monument;Patrimoine;48.84392;-3.124133
Phares du Cap Fréhel;Bretagne;Monument;Patrimoine;48.647236;-2.319095
Château de Lorges;Bretagne;Monument;Patrimoine;48.325144;-2.828734
Croix Saint-Lambert;Bretagne;Monument;Patrimoine;48.325144;-2.828734
Colombier de Maros;Bretagne;Monument;Patrimoine;48.533081;-2.985094
Manoir de Kerbridou;Bretagne;Monument;Patrimoine;48.616122;-3.482006
Maison du 17e siècle;Bretagne;Monument;Patrimoine;48.612056;-3.472923
Dolmen dit de la Ville Tanguy;Bretagne;Monument;Patrimoine;48.5712;-2.184342
Calvaire dit Croix des Veuves;Bretagne;Monument;Patrimoine;48.804393;-3.041798
