Nom;Région;Type équipement ou lieu;Domaine;Latitude;Longitude
Croix de la Tuilière;Nouvelle-Aquitaine;Monument;Patrimoine;45.77502;0.33273
Eglise Saint-Caprais;Nouvelle-Aquitaine;Monument;Patrimoine;45.776895;0.336961
Château de Roissac;Nouvelle-Aquitaine;Monument;Patrimoine;45.610658;-0.294483
Eglise Saint-Martial;Nouvelle-Aquitaine;Monument;Patrimoine;45.644298;0.148172
Maison de la Marbrerie;Nouvelle-Aquitaine;Monument;Patrimoine;45.647801;0.162681
Maison dite Maison Saint-Simon;Nouvelle-Aquitaine;Monument;Patrimoine;45.649522;0.156122
Eglise Saint-André;Nouvelle-Aquitaine;Monument;Patrimoine;45.650115;0.154493
Chocolaterie;Nouvelle-Aquitaine;Monument;Patrimoine;45.648978;0.155945
Capitainerie de l'Houmeau;Nouvelle-Aquitaine;Monument;Patrimoine;45.659221;0.160793
Hôtel de ville;Nouvelle-Aquitaine;Monument;Patrimoine;45.644298;0.148172
Chapelle Notre-Dame;Nouvelle-Aquitaine;Monument;Patrimoine;46.001061;0.626742
Château;Nouvelle-Aquitaine;Monument;Patrimoine;45.637131;-0.398165
Eglise Saint-Jacques;Nouvelle-Aquitaine;Monument;Patrimoine;45.2685;0.167393
Couvent des Minimes;Nouvelle-Aquitaine;Monument;Patrimoine;45.2685;0.167393
Château;Nouvelle-Aquitaine;Monument;Patrimoine;45.911285;-0.092434
Eglise Saint-Mathias;Nouvelle-Aquitaine;Monument;Patrimoine;45.480868;-0.15413
Eglise Saint-Pardoux;Nouvelle-Aquitaine;Monument;Patrimoine;45.489286;-0.203785
Ancienne abbaye Saint-Etienne;Nouvelle-Aquitaine;Monument;Patrimoine;45.664538;-0.099017
Dolmen;Nouvelle-Aquitaine;Monument;Patrimoine;45.956869;0.082536
Eglise Saint-Cybard de Porcheresse;Nouvelle-Aquitaine;Monument;Patrimoine;45.453906;0.033736
Eglise Saint-Pierre et Sainte-Radegonde;Nouvelle-Aquitaine;Monument;Patrimoine;45.239934;0.148977
Eglise Saint-Etienne;Nouvelle-Aquitaine;Monument;Patrimoine;45.624179;0.33341
Eglise Saint-Jean-Baptiste;Nouvelle-Aquitaine;Monument;Patrimoine;45.667249;-0.215316
Eglise Saint-Pierre;Nouvelle-Aquitaine;Monument;Patrimoine;46.067935;0.767294
Restes de la villa romaine de Lacou-Dausena;Nouvelle-Aquitaine;Monument;Patrimoine;45.3312813417823;-0.0280688245623959
Logis de Puygâty;Nouvelle-Aquitaine;Monument;Patrimoine;45.497987;0.142461
Eglise Sainte-Eulalie;Nouvelle-Aquitaine;Monument;Patrimoine;45.715395;0.201485
Ancienne abbaye de Fontaine Vive, ou de Grosbot;Nouvelle-Aquitaine;Monument;Patrimoine;45.543534;0.411288
Ancien prieuré;Nouvelle-Aquitaine;Monument;Patrimoine;45.807276;0.554188
Château Chesnel;Nouvelle-Aquitaine;Monument;Patrimoine;45.746325;-0.337138
Eglise Saint-Georges de Richemont;Nouvelle-Aquitaine;Monument;Patrimoine;45.746325;-0.337138
Eglise Saint-Christophe;Nouvelle-Aquitaine;Monument;Patrimoine;45.549411;0.052614
Immeuble, actuellement clinique;Nouvelle-Aquitaine;Monument;Patrimoine;45.697003;-0.329491
Fontaine dite de François-Ier;Nouvelle-Aquitaine;Monument;Patrimoine;45.696075;-0.336473
Ancien prieuré Saint-Léger;Nouvelle-Aquitaine;Monument;Patrimoine;45.694718;-0.328601
Maison;Nouvelle-Aquitaine;Monument;Patrimoine;45.695674;-0.330024
Maison dite de la Nourrice de François-Ier;Nouvelle-Aquitaine;Monument;Patrimoine;45.696075;-0.336473
Eglise de Rozet ou de Rauzet;Nouvelle-Aquitaine;Monument;Patrimoine;45.497135;0.403997
Ancienne chapelle du Saint-Esprit;Nouvelle-Aquitaine;Monument;Patrimoine;46.022398;0.667267
Eglise Saint-Germain;Nouvelle-Aquitaine;Monument;Patrimoine;46.05379;0.684323
Ancien abattoir, actuellement ateliers municipaux;Nouvelle-Aquitaine;Monument;Patrimoine;46.022398;0.667267
Manoir des Comtes;Nouvelle-Aquitaine;Monument;Patrimoine;46.015135;0.674634
Ancien hôtel Dassier des Brosses;Nouvelle-Aquitaine;Monument;Patrimoine;46.013829;0.671692
Eglise Saint-Barthélémy;Nouvelle-Aquitaine;Monument;Patrimoine;46.022398;0.667267
Ruines du château;Nouvelle-Aquitaine;Monument;Patrimoine;46.05379;0.684323
Restes du logis de Sigogne;Nouvelle-Aquitaine;Monument;Patrimoine;45.815605;0.279944
Dolmens de Magnez;Nouvelle-Aquitaine;Monument;Patrimoine;45.988561;0.149969
Eglise Saint-Martial;Nouvelle-Aquitaine;Monument;Patrimoine;45.603962;0.240611
Eglise Saint-Maurice;Nouvelle-Aquitaine;Monument;Patrimoine;45.71822;-0.051372
Château de la Rochebeaucourt;Nouvelle-Aquitaine;Monument;Patrimoine;45.488583;0.362568
Eglise Saint-Pierre;Nouvelle-Aquitaine;Monument;Patrimoine;45.488583;0.362568
Eglise Saint-Maixent;Nouvelle-Aquitaine;Monument;Patrimoine;46.022734;0.047428
Château de Rochebrune;Nouvelle-Aquitaine;Monument;Patrimoine;45.891811;0.781152
