UAI;Libellé;Adresse;Enseignements;Langues;Code departement;Département;Code region;Région;Code academie;Académie;Commune;Type d'établissement;Position;Secteur de l'établissement
0310028M;Lycée général et technologique Vincent Auriol;36 route de Sorèze;LV2;Occitan;31;Haute-Garonne;76;Occitanie;16;Toulouse;Revel;Lycée;43.45632273091601, 2.011653138718951;Public
0311328A;Collège Les Chalets;71 rue des Chalets;LV2;Occitan;31;Haute-Garonne;76;Occitanie;16;Toulouse;Toulouse;Collège;43.61523934074782, 1.4387895339952173;Public
0311772H;Collège Léo Ferré;77 avenue du Languedoc;LV2;Occitan;31;Haute-Garonne;76;Occitanie;16;Toulouse;Saint-Lys;Collège;43.51336840342611, 1.1848497397132158;Public
0342410K;Lycée privé Leon Còrdas;657 rue de la Croix verte - Parc Euromédecine , Parc Euromédecine;LV2;Occitan;34;Hérault;76;Occitanie;11;Montpellier;Montpellier;Lycée;43.64584761877983, 3.8406743536645167;Privé
0650005C;Lycée polyvalent Victor Duruy;3 bis allées Jean Jaurès;LV2;Occitan;65;Hautes-Pyrénées;76;Occitanie;16;Toulouse;Bagnères-de-Bigorre;Lycée;43.06305290234147, 0.15325993343814306;Public
0090002D;Lycée général et technologique Gabriel Fauré;5 rue Lieutenant Paul Delpech;LV2;Occitan;9;Ariège;76;Occitanie;16;Toulouse;Foix;Lycée;42.96196712087671, 1.6049297132028237;Public
0120878P;Collège Marcel Aymard;Rue Jean Moulin;LV2;Occitan;12;Aveyron;76;Occitanie;16;Toulouse;Millau;Collège;44.0981730560949, 3.0734899958875217;Public
0090013R;Lycée polyvalent de Mirepoix;route de Limoux;LV2;Occitan;9;Ariège;76;Occitanie;16;Toulouse;Mirepoix;Lycée;43.085896897923064, 1.8827606136997626;Public
0120059Z;Lycée général et technologique privé Saint-Gabriel;8 boulevard Emile Borel;LV2;Occitan;12;Aveyron;76;Occitanie;16;Toulouse;Saint-Affrique;Lycée;43.95715667277396, 2.8891791092780728;Privé
0342580V;Collège de Maraussan;60 rue Alphonse Jeanjean;LV2;Occitan;34;Hérault;76;Occitanie;11;Montpellier;Maraussan;Collège;;Public
